,life_expectancy,income,co2_emissions(tonnes/person),total_health_spending,gov_health_spending,kcal_day,sugar_g_day,Schooling,Alcohol, BMI ,children/woman
322,77.9,10100.0,3.52,346.0,134.0,2890.0,117.0,14.0,6.37,56.1,2.02
323,78.1,10800.0,3.74,420.0,167.0,2920.0,119.0,14.3,6.32,56.8,2.0
324,78.4,11200.0,3.83,502.0,201.0,2910.0,119.0,14.6,7.57,57.4,1.98
325,78.7,11800.0,3.97,592.0,249.0,2960.0,119.0,14.9,7.33,58.1,1.96
326,78.9,12300.0,4.34,683.0,295.0,2930.0,129.0,14.8,7.39,58.7,1.95
327,79.2,12600.0,4.31,765.0,337.0,2940.0,130.0,15.2,7.31,59.3,1.93
328,79.2,12300.0,3.97,802.0,382.0,2890.0,130.0,15.3,7.67,59.9,1.9
329,79.1,12900.0,4.25,947.0,456.0,2920.0,133.0,15.2,7.93,6.6,1.88
330,70.0,1770.0,2.65,43.4,16.6,2810.0,15.7,9.5,3.06,2.5,1.5
331,70.3,1910.0,2.7,47.3,16.8,2820.0,16.5,9.6,2.84,21.2,1.51
332,70.7,2070.0,2.96,54.1,19.4,2830.0,15.7,9.7,2.91,21.9,1.52
333,71.3,2260.0,3.48,61.2,22.1,2830.0,17.4,9.9,2.96,22.6,1.54
334,71.9,2470.0,3.98,70.1,26.6,2860.0,16.7,10.2,3.04,23.4,1.55
335,72.4,2740.0,4.46,80.4,31.2,2880.0,16.9,10.6,2.92,24.1,1.57
336,73.0,3070.0,4.91,93.4,38.0,2880.0,17.2,11.0,3.28,24.9,1.57
337,73.5,3490.0,5.26,115.0,53.7,2920.0,17.7,11.4,3.88,25.7,1.58
338,73.8,3810.0,5.62,157.0,78.2,2980.0,17.5,11.9,4.27,26.5,1.58
339,74.3,4140.0,5.92,191.0,100.0,2990.0,18.0,12.2,4.88,27.3,1.59
340,74.6,4560.0,6.45,221.0,118.0,3040.0,17.9,12.5,5.75,28.1,1.59
341,73.3,4760.0,1.43,184.0,131.0,2780.0,172.0,11.3,4.66,46.7,2.39
342,73.4,4770.0,1.37,178.0,125.0,2820.0,175.0,11.4,4.43,47.5,2.35
343,73.6,4830.0,1.34,175.0,123.0,2780.0,172.0,11.5,4.45,48.2,2.31
344,74.3,4950.0,1.36,175.0,123.0,2800.0,173.0,11.6,4.25,49.0,2.27
345,74.6,5140.0,1.29,206.0,145.0,2780.0,174.0,11.3,4.26,49.8,2.24
346,75.0,5310.0,1.41,254.0,178.0,2730.0,169.0,11.1,4.38,5.5,2.2
347,75.2,5600.0,1.44,273.0,193.0,2770.0,167.0,11.5,4.53,51.3,2.16
348,75.8,5910.0,1.41,337.0,239.0,2800.0,167.0,11.9,4.66,52.0,2.12
349,76.0,6050.0,1.52,377.0,266.0,2810.0,167.0,12.2,4.45,52.8,2.08
350,76.2,6080.0,1.6,392.0,278.0,2710.0,164.0,12.4,4.34,53.5,2.04
351,76.4,6250.0,1.66,472.0,343.0,2670.0,150.0,12.8,4.28,54.2,2.01
352,52.8,2360.0,0.325,21.7,12.5,2180.0,27.3,9.8,2.26,19.3,5.1
353,53.7,2390.0,0.231,21.0,11.6,2230.0,31.8,9.7,2.3,19.8,5.09
354,54.4,2430.0,0.16899999999999998,22.4,11.8,2260.0,34.8,9.5,2.55,2.3,5.08
355,55.0,2380.0,0.262,27.0,13.5,2240.0,37.2,9.4,2.45,2.7,5.07
356,55.8,2400.0,0.263,34.2,18.4,2260.0,41.2,9.2,2.58,21.2,5.05
357,56.6,2500.0,0.264,41.5,24.6,2040.0,39.8,9.4,2.03,21.7,5.04
358,57.5,2570.0,0.29100000000000004,50.1,31.7,2140.0,42.1,9.6,2.25,22.3,5.03
359,58.0,2450.0,0.305,60.2,34.7,2140.0,51.9,9.8,2.75,22.8,5.01
360,58.7,2500.0,0.318,80.4,38.7,2110.0,52.0,10.0,2.58,23.3,5.0
361,59.6,2600.0,0.41,67.0,31.8,2140.0,38.6,10.3,3.47,23.9,4.97
362,60.4,2740.0,0.451,72.3,33.8,2140.0,37.1,10.5,3.53,24.5,4.95
363,78.0,6230.0,1.39,266.0,204.0,2800.0,155.0,11.6,4.34,45.4,2.37
364,78.3,6330.0,1.44,292.0,220.0,2800.0,151.0,11.7,4.29,46.4,2.29
365,78.5,6430.0,1.56,316.0,236.0,2770.0,152.0,11.9,4.17,47.3,2.22
366,78.8,6610.0,1.61,327.0,243.0,2750.0,153.0,12.1,4.04,48.3,2.16
367,79.1,6790.0,1.66,342.0,246.0,2760.0,152.0,12.2,4.09,49.3,2.11
368,79.3,6950.0,1.62,360.0,253.0,2810.0,157.0,12.4,4.1,5.3,2.07
369,79.6,7350.0,1.65,410.0,283.0,2870.0,158.0,12.6,4.15,51.4,2.03
370,80.0,7840.0,1.86,524.0,353.0,2860.0,161.0,12.8,4.2,52.4,2.01
371,80.2,8100.0,1.84,618.0,413.0,2840.0,154.0,12.9,4.22,53.4,1.98
372,80.3,7910.0,1.76,667.0,449.0,2840.0,150.0,13.1,4.07,54.4,1.95
